id,price,dist_navy_pier_miles,is_landmark_proximate,transit_north_premium,is_premium_transit_hub,shoreline_gravity,dist_to_nearest_beach_miles,crime_density_total,nb_homicides_half_mile
52372599,85.0,7.2813,0,0.0445,0.0,0.2866,2.4185,358.5659,1
52373436,79.0,12.5964,0,0.0119,0.0,0.166,6.3087,189.0393,0
52374426,180.0,1.1349,1,0.3095,0.6607,0.818,0.5683,842.8006,0
52382974,110.0,4.3145,0,0.1283,0.0,0.2404,3.3049,314.0505,0
52389225,104.0,6.1175,0,0.1209,0.8604,0.5791,4.2364,358.0325,0
52391072,94.0,6.2016,0,0.1197,0.8622,0.5548,4.3184,358.0325,0
52391531,103.0,6.1504,0,0.1203,0.8604,0.5578,4.2672,358.0325,0
52403432,239.0,3.4232,1,0.1333,0.5898,0.28,3.1889,383.6329,0
52408276,168.0,10.6648,0,0.0738,0.0,0.1276,9.0185,90.2514,0
52412590,,7.3668,0,0.0468,0.0,0.1873,4.632,153.0204,0
52421674,461.0,3.525,0,0.1661,0.7515,0.5175,1.6888,253.4784,0
52439779,119.0,3.1901,1,0.157,0.0,0.3055,2.3461,314.0505,1
52482841,182.0,0.5999,1,0.4071,0.0,0.8264,0.843,842.8006,0
52494434,553.0,4.7323,0,0.1248,0.7153,0.241,3.4038,258.2845,0
52504308,199.0,2.7426,1,0.1624,0.6077,0.3406,2.489,383.6329,1
52504381,,4.5375,0,0.143,0.7919,0.4978,2.6543,365.3628,0
52520901,330.0,1.8946,1,0.2044,0.5917,0.5741,2.3247,1063.742,0
52555572,61.0,6.0237,0,0.0773,0.543,0.1638,5.7009,169.0158,0
52555897,62.0,5.9692,0,0.0786,0.548,0.1646,5.6236,421.1932,0
52556098,62.0,5.9332,0,0.0784,0.5435,0.1664,5.6187,169.0158,1
52565723,213.0,2.7425,1,0.1624,0.6077,0.3406,2.4889,383.6329,1
52570753,63.0,5.964,0,0.078,0.5432,0.1656,5.6476,169.0158,1
52578400,125.0,1.7317,1,0.2484,0.6784,0.6348,0.6492,842.8006,0
52600695,,3.6319,1,0.1105,0.5117,0.503,4.0495,413.2855,0
52611597,880.0,3.0232,1,0.1401,0.5635,0.3599,3.2462,188.3615,0
52611708,63.0,5.9152,0,0.0787,0.5441,0.1669,5.5995,169.0158,1
52616207,72.0,9.4155,0,0.0759,0.0,0.1278,7.9373,172.7917,0
52638628,,4.9436,0,0.0992,0.0,0.1939,4.4607,397.3531,1
52651881,260.0,2.6302,1,0.1526,0.5538,0.566,3.2808,276.7138,0
52655341,40.0,6.0366,0,0.1,0.0,0.1776,4.859,354.858,1
52716429,252.0,3.2406,0,0.1318,0.5588,0.3343,3.4283,188.3615,0
52719151,85.0,9.0214,0,0.0979,0.9813,0.9213,7.1932,402.4574,0
52724296,186.0,13.7303,0,0.0077,0.1141,0.1773,7.0908,230.1862,2
52731021,182.0,5.2969,0,0.117,0.7365,0.2272,3.8392,258.2845,0
52733252,113.0,7.5678,0,0.0943,0.8082,0.1828,5.9066,165.1946,0
52736306,152.0,11.4019,0,0.0631,0.0,0.1001,10.0272,86.1152,0
52739562,127.0,5.1995,0,0.1313,0.8141,0.4557,3.3135,365.3628,0
