id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,geometry,index_right,official_neighbourhood,dist_loop_center_miles,dist_navy_pier_miles,dist_ohare_airport_miles,dist_fulton_market_miles,dist_museum_campus_miles,dist_mccormick_place_miles,min_dist_rail_miles,avg_dist_top3_rail_miles,is_rail_accessible,dist_to_shoreline_miles,dist_to_nearest_beach_miles
1401793600905392507,Prime City Stay in a 1BR Apt,688897008,Rida,,Irving Park,41.95806,-87.73024,Entire home/apt,84.0,2,7,2025-09-07,1.6,19,170,7,R23000098955,POINT (1148286.3799766467 1927884.152475294),46,Irving Park,10.698350909049667,11.035588914341343,10.185699607408914,9.146649014150016,12.480838165739657,13.219964880424518,0.3408647557720886,0.6687606953083159,1,4.435090647591957,6.217959565756134
1401802576617442643,Montrose Studio:Your Uptown Base,421060852,Kim John,,Uptown,41.96272,-87.65133,Entire home/apt,90.0,2,20,2025-09-07,4.23,15,147,20,R24000121493,POINT (1169735.832581735 1929743.2099184704),14,Uptown,6.988048795051212,7.325286800342887,13.89600172140737,5.436346900151561,8.770536051741201,9.509662766426063,1.2482643351062344,2.6605492773776556,0,0.420211968019205,3.586684450055882
1401814775288445641,Modern 2BR with Reliable Wi-Fi,571359380,Arvin,,Lake View,41.94452,-87.64691,Entire home/apt,,2,25,2025-09-18,4.9,17,130,25,R22000076721,POINT (1170991.075946889 1923120.6618713674),25,Lake View,5.496042845760133,5.83328085105181,15.388007670698448,4.023942495872986,7.278530102450124,8.017656817134984,2.1616358592570464,2.8670281107761433,0,0.5156059106207779,2.356559005515411
1401830719669719399,Lively & Fully Furnished 1BR Apartment,233135984,Maria Jesusa,,Hyde Park,41.80075,-87.59384,Entire home/apt,103.0,2,9,2025-09-11,2.25,21,157,9,R24000124094,POINT (1185880.1773320802 1870851.0964944954),1,Hyde Park,7.223401616751851,6.886163611460176,28.107452133210433,8.775103511651501,5.4409143600618615,4.701787645377,0.3687497689440744,0.5434077591299682,1,0.6402054037142333,1.0054416161156288
1401845234207081234,Trendy Studio Apartment in Chicago,233135984,Maria Jesusa,,Hyde Park,41.79456,-87.59284,Entire home/apt,107.0,2,40,2025-09-16,8.05,21,168,40,R25000129623,POINT (1186172.2695704428 1868597.842572584),1,Hyde Park,7.7054747531673815,7.368236747875706,28.589525269625963,9.257176648067032,5.922987496477392,5.18386078179253,0.3003012484055016,0.44897360386598506,1,0.7460573157972679,0.7552742840416985
1401852807989627794,1BR Homey Apt in Irving Park,688897008,Rida,,Irving Park,41.94926,-87.70596,Entire home/apt,85.0,2,20,2025-09-19,4.96,19,165,20,R24000113824,POINT (1154913.841403392 1924724.817069461),46,Irving Park,8.844790902879586,9.182028908171262,12.039259613578995,7.293089007979936,10.627278159569578,11.366404874254437,1.3262513984331057,1.7053680541380458,0,3.3778097780308425,4.829527189551609
1401873276412616844,Modern 2BR Haven in Chicago,688546499,Teresa,,Irving Park,41.95779,-87.7311,Entire home/apt,89.0,2,20,2025-09-20,3.95,13,169,20,R23000106145,POINT (1148053.157634945 1927784.11852053),46,Irving Park,10.723575982333347,11.060813987625023,10.160474534125234,9.171874087433698,12.506063239023337,13.245189953708199,0.3189086227213435,0.6342763335239789,1,4.482662153092554,6.248009538948072
1401874790488238432,3BR Spacious Apartment in Chicago,233135984,Maria Jesusa,,Rogers Park,41.999,-87.66746,Entire home/apt,133.0,2,20,2025-09-07,4.2,21,174,20,R24000116804,POINT (1165246.1264859822 1942929.3275683997),3,Rogers Park,10.33574268627889,10.672980691570565,14.128948463026829,8.784040791379239,12.11822994296888,12.85735665765374,0.8441711875748779,1.8197458454814806,0,0.5943674163205575,6.220317354633773
1401877376391695053,Well-Appointed &Vibrant 2BR Apt,688897008,Rida,,Portage Park,41.95965,-87.74834,Entire home/apt,,2,13,2025-08-25,3.17,19,167,13,R21000073422,POINT (1143359.3561032915 1928429.426134241),45,Portage Park,11.734770896228138,12.072008901519814,9.149279620230443,10.183069001328487,13.517258152918128,14.25638486760299,0.11666634202161741,0.661726296191203,1,5.309607014932153,7.097467087940384
1401898273765789928,Chic & Fully Furnished Urban Studio Apartment,233135984,Maria Jesusa,,Lake View,41.93409,-87.65182,Entire home/apt,99.0,2,19,2025-09-17,4.32,21,161,19,R24000116021,POINT (1169685.522442258 1919309.282308435),25,Lake View,5.021454577142449,5.3586925824341245,15.862595939316133,3.4697526822427984,6.803941833832439,7.5430685485173,1.4428631454947902,2.5451410243100145,0,0.9359249903566358,1.9416272103738768
