listing_id,price,accommodates,bedrooms,bathrooms,room_type,property_type,review_scores_rating,occupancy_proxy,weekend_occupancy_proxy,summer_occupancy_proxy,winter_occupancy_proxy,total_review_count,recent_review_count,avg_review_length,estimated_annual_revenue,log_revenue,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,beds,minimum_nights,maximum_nights,has_availability,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,room_type_Hotel room,room_type_Private room,room_type_Shared room,property_type_clean_Entire home,property_type_clean_Entire rental unit,property_type_clean_Other,property_type_clean_Private room in home,property_type_clean_Private room in rental unit,Amenity_PCA_1,Amenity_PCA_2,Amenity_PCA_3,Amenity_PCA_4,Amenity_PCA_5,Cluster_ID
1434885260287803973,105.0,16,4.0,2.0,Entire home/apt,Entire rental unit,4.0,0.021917808219178082,0.028846153846153848,0.0,0.0,5.0,5.0,303.4,840.0,6.734591659972948,0.0,23.0,24.0,1.0,1.0,Edgewater,41.9875659,-87.6583702,7.0,1,45,1.0,23,357,5,5,0,0,4.8,5.0,5.0,4.6,4.6,4.4,f,16,1.63,False,False,False,False,True,False,False,False,-2.0595646802365644,-1.0266792340007087,0.8128489124463154,-1.088278303945999,-0.0606052944323753,4
1434905442664427268,126.0,6,2.0,1.0,Entire home/apt,Entire rental unit,5.0,0.030136986301369864,0.038461538461538464,0.0,0.0,9.0,9.0,139.33333333333334,1386.0,7.234898420314831,0.0,1.0,1.0,1.0,1.0,East Garfield Park,41.88694166657126,-87.70952191152111,3.0,1,365,1.0,19,354,9,9,1,0,5.0,5.0,5.0,5.0,4.89,4.89,f,1,2.62,False,False,False,False,True,False,False,False,1.3420262716297944,-0.453936233941439,0.0178871115591994,0.6754427533185867,0.8417878883814096,1
1435139034064570419,321.0,8,3.0,2.0,Entire home/apt,Entire rental unit,5.0,0.10684931506849316,0.11538461538461539,0.0,0.08888888888888889,18.0,18.0,252.44444444444446,12519.000000000002,9.43508264465409,1.0,8.0,9.0,1.0,1.0,West Town,41.8957203,-87.67434500000002,4.0,2,365,1.0,12,326,18,18,2,0,4.94,5.0,4.94,5.0,4.89,4.83,t,5,5.14,False,False,False,False,True,False,False,False,1.2031944140543138,-0.061791188514503,0.5788294048568206,0.1537183810764463,1.086562178934941,1
1435396881250087034,35.0,1,1.0,2.0,Private room,Private room in rental unit,4.67,0.030136986301369864,0.038461538461538464,0.0,0.0,3.0,3.0,30.666666666666668,385.0,5.955837369464831,0.0,7.0,8.0,1.0,1.0,Bridgeport,41.84741560212735,-87.64668569072327,1.0,1,365,1.0,19,354,3,3,2,0,4.67,4.33,5.0,5.0,5.0,4.67,t,7,2.25,False,True,False,False,False,False,False,True,-2.356691841513042,-2.2924933377237897,0.196457938128696,-0.1296539325679625,0.1887736528565081,2
1435509513258183299,145.0,2,1.0,1.0,Entire home/apt,Entire rental unit,,0.8,0.8076923076923077,1.0,0.24444444444444444,0.0,0.0,0.0,42340.0,10.65351116273777,0.0,9.0,12.0,1.0,1.0,Near West Side,41.870174,-87.6655892,1.0,32,1125,1.0,1,73,0,0,0,0,4.89,4.87,4.93,4.95,4.87,4.78,f,9,1.59,False,False,False,False,True,False,False,False,1.5032414951410282,0.3297679160045486,-0.2021648623452895,-0.2003414105619892,0.3770817301102729,0
1435628562186335574,312.0,10,4.0,3.5,Entire home/apt,Entire home,4.88,0.0821917808219178,0.11538461538461539,0.0,0.03333333333333333,8.0,8.0,292.25,9360.0,9.144307401371744,0.0,1.0,2.0,1.0,0.0,Humboldt Park,41.90162,-87.73108,5.0,1,365,1.0,20,335,8,8,4,0,4.63,4.75,4.88,4.75,4.5,4.75,f,1,3.64,False,False,False,True,False,False,False,False,-1.2233650408571983,-0.7113382559737953,0.3919356685677613,-0.4443959913624364,0.8611276090802938,4
1435878637251733634,160.0,4,2.0,1.0,Entire home/apt,Entire rental unit,4.67,0.7698630136986301,0.7884615384615384,1.0,0.7777777777777778,6.0,6.0,449.8333333333333,44960.0,10.713550726313105,1.0,2.0,7.0,1.0,1.0,Albany Park,41.96344,-87.71532,2.0,2,28,1.0,24,84,6,6,1,0,4.83,5.0,4.83,4.67,4.83,4.67,f,2,2.12,False,False,False,False,True,False,False,False,0.3041707154857644,-0.8314410442359335,0.3867830864004398,-0.2143345199148713,-0.2914174243054516,1
1435981065771608601,167.0,5,2.0,2.0,Entire home/apt,Entire home,,0.3726027397260274,0.375,0.0,0.7444444444444445,0.0,0.0,0.0,22712.000000000004,10.030692726771417,1.0,2.0,2.0,1.0,1.0,East Garfield Park,41.88295,-87.69631,3.0,2,365,1.0,0,229,0,0,0,0,4.89,4.87,4.93,4.95,4.87,4.78,t,2,1.59,False,False,False,True,False,False,False,False,0.5652459303300157,-0.2518865586575571,0.0263236150077422,-0.794214560177063,0.8529205227338903,4
1436215535006617229,190.0,8,4.0,3.0,Entire home/apt,Entire rental unit,4.64,0.5068493150684932,0.5192307692307693,1.0,0.0,14.0,14.0,426.85714285714283,35150.0,10.467408346336265,1.0,3.0,4.0,1.0,1.0,Avondale,41.941092,-87.72187249999999,4.0,2,31,1.0,20,180,14,14,3,0,4.93,5.0,4.93,4.5,4.64,4.5,t,3,3.89,False,False,False,False,True,False,False,False,-0.0998403832740635,1.841376637255772,0.8913028816373472,-0.075454295982136,0.6297290363411892,1
1436355949908218174,47.0,4,1.0,1.0,Private room,Private room in rental unit,5.0,0.6520547945205479,0.6923076923076923,1.0,0.05555555555555555,11.0,11.0,167.8181818181818,11186.0,9.32250766884693,1.0,10.0,16.0,1.0,1.0,Lower West Side,41.85217,-87.6818,2.0,2,30,1.0,14,127,11,11,3,0,4.91,4.73,5.0,5.0,4.91,5.0,t,10,3.75,False,True,False,False,False,False,False,True,-1.2046358842680738,0.2389854613512105,0.8254787050178105,0.0540034951801465,-0.7796585382401282,2
